"Rep_char" "well_ID" "sampleID" "Plate" "OD" "Timepoint" "HoursElapsed" "Rep" "Bd" "CFS_type" "conOD_ave" "conOD_sd" "OD_adj"
"165" "G9_4" "G9" "54D_2F_Bd" 4 0.15 "T0" 0 "10" "Bd" "54D_2F" 0.1371 0.00930292666016692 0.0129
"166" "G10_4" "G10" "54D_2F_Bd" 4 0.149 "T0" 0 "2" "Bd" "54D_2F" 0.1371 0.00930292666016692 0.0119
"167" "H11_4" "H11" "Live_Bd" 4 0.134 "T0" 0 "8" "Bd" "Control" 0.1417 0.00988882646671933 -0.00769999999999998
"168" "H12_4" "H12" "Live_Bd" 4 0.137 "T0" 0 "10" "Bd" "Control" 0.1417 0.00988882646671933 -0.00469999999999998
"169" "A3_5" "A3" "54D_Jliv10_Bd" 5 0.126 "T0" 0 "1" "Bd" "54D_Jliv10" 0.1139 0.00677331364826536 0.0121
"170" "A4_5" "A4" "54D_Jliv10_Bd" 5 0.126 "T0" 0 "2" "Bd" "54D_Jliv10" 0.1139 0.00677331364826536 0.0121
"171" "A7_5" "A7" "54D_JlivBTP_Bd" 5 0.129 "T0" 0 "1" "Bd" "54D_JlivBTP" 0.1198 0.00269979423084221 0.0092
"172" "A8_5" "A8" "54D_JlivBTP_Bd" 5 0.136 "T0" 0 "2" "Bd" "54D_JlivBTP" 0.1198 0.00269979423084221 0.0162
"173" "A11_5" "A11" "Jliv10_Bd" 5 0.131 "T0" 0 "1" "Bd" "Jliv10" 0.1406 0.0050596442562694 -0.0096
"174" "A12_5" "A12" "Jliv10_Bd" 5 0.147 "T0" 0 "2" "Bd" "Jliv10" 0.1406 0.0050596442562694 0.00639999999999999
"175" "B3_5" "B3" "54D_Jliv10_Bd" 5 0.118 "T0" 0 "3" "Bd" "54D_Jliv10" 0.1139 0.00677331364826536 0.00409999999999999
